ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11894661,JC514431,10/26/2019 09:00:00 AM,028XX S LAWNDALE AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,FALSE,FALSE,1032,10,22,30,20,1152163,1884970,2019,11/20/2019 03:54:24 PM,41.84022364,-87.71712127,"(41.840223636, -87.71712127)"
11890839,JC509596,11/13/2019 09:05:00 PM,018XX W WASHINGTON BLVD,4210,KIDNAPPING,KIDNAPPING,STREET,FALSE,FALSE,1223,12,27,28,26,1164057,1900721,2019,11/20/2019 03:58:14 PM,41.88320338,-87.67303048,"(41.883203377, -87.673030483)"
11737460,JC319837,06/24/2019 12:19:00 PM,055XX S HONORE ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,FALSE,FALSE,715,7,15,67,20,1164963,1867923,2019,07-03-2019 16:05,41.79318315,-87.67063282,"(41.793183151, -87.670632818)"
11739163,JC326307,04-01-2019 00:00,059XX W OHIO ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,FALSE,TRUE,1511,15,29,25,17,1136819,1903376,2019,07-10-2019 16:06,41.89102059,-87.77298754,"(41.891020585, -87.772987536)"
12030086,JD209041,02-01-2019 00:00,047XX S INDIANA AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,224,2,3,38,17,1178400,1873553,2019,04/17/2020 03:50:24 PM,41.80833758,-87.62118991,"(41.808337583, -87.621189912)"
11892585,JC511814,11/14/2019 07:00:00 PM,068XX N SEELEY AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,FALSE,FALSE,2411,24,50,2,08B,1161296,1945342,2019,11/21/2019 03:55:23 PM,42.00570382,-87.68192382,"(42.005703817, -87.681923822)"
11669093,JC241141,04/27/2019 09:41:00 PM,057XX S SPAULDING AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,TRUE,TRUE,822,8,23,63,08B,1155363,1866347,2019,07-04-2019 16:01,41.78905606,-87.70587748,"(41.789056061, -87.705877481)"
11679416,JC253703,04/22/2019 04:05:00 PM,032XX S SHIELDS AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,TRUE,915,9,11,34,17,1174486,1883400,2019,07-04-2019 16:01,41.83544674,-87.63525201,"(41.835446735, -87.635252013)"
11715399,JC297425,06-08-2019 11:00,049XX S MARSHFIELD AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,SIDEWALK,FALSE,TRUE,931,9,20,61,20,1166177,1871857,2019,07-04-2019 16:01,41.80395275,-87.66606922,"(41.803952747, -87.666069216)"
11717734,JC299215,05/17/2019 12:01:00 AM,015XX S MILLARD AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,TRUE,1014,10,24,29,17,1152293,1892169,2019,07-04-2019 16:01,41.859976,-87.71645445,"(41.859976001, -87.716454446)"
11738240,JC325057,06/27/2019 10:05:00 PM,065XX S RHODES AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,321,3,20,42,08B,1181023,1861862,2019,07-04-2019 16:09,41.77619638,-87.61192928,"(41.776196383, -87.61192928)"
11737629,JC324649,06/27/2019 01:30:00 PM,016XX E 95TH ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,GROCERY FOOD STORE,FALSE,FALSE,431,4,7,51,20,1188861,1842311,2019,07-04-2019 16:09,41.7223626,-87.58382047,"(41.722362598, -87.58382047)"
11740354,JC327653,06/28/2019 08:00:00 AM,029XX E 90TH ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,423,4,10,46,08B,1197173,1845854,2019,07-05-2019 16:13,41.73188227,-87.55325775,"(41.73188227, -87.553257749)"
11739570,JC325765,06/28/2019 12:45:00 PM,014XX N SEDGWICK ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,FALSE,FALSE,1821,18,27,8,20,1173383,1909988,2019,07-05-2019 16:13,41.90843054,-87.63850953,"(41.908430535, -87.638509526)"
11738637,JC325578,06/28/2019 11:14:00 AM,099XX S WENTWORTH AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,511,5,9,49,20,1176699,1838936,2019,07-05-2019 16:13,41.71338308,-87.62846909,"(41.713383076, -87.628469089)"
11741596,JC329376,06/28/2019 12:30:00 PM,0000X W 111TH ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,HOSPITAL BUILDING/GROUNDS,FALSE,TRUE,522,5,34,49,17,1177873,1831361,2019,07-05-2019 16:13,41.69256976,-87.62439788,"(41.692569761, -87.624397882)"
